"COD. IBGE";"UF";"NOME DA CIDADE"
1303536;"AM";"PRESIDENTE FIGUEIREDO"
1303569;"AM";"RIO PRETO DA EVA"
1303601;"AM";"SANTA ISABEL DO RIO NEGRO"
1303700;"AM";"SANTO ANTÔNIO DO IÇÁ"
1303809;"AM";"SÃO GABRIEL DA CACHOEIRA"
1303908;"AM";"SÃO PAULO DE OLIVENCA"
1303957;"AM";"SÃO SEBASTIÃO DO UATUMA"
1304005;"AM";"SILVES"
1304062;"AM";"TABATINGA"
1304104;"AM";"TAPAUÁ"
1304203;"AM";"TEFÉ"
1304237;"AM";"TONANTINS"
1304260;"AM";"UARINI"
1304302;"AM";"URUCARÁ"
1304401;"AM";"URUCURITUBA"
2900108;"BA";"ABAÍRA"
2900207;"BA";"ABARÉ"
2900306;"BA";"ACAJUTIBA"
2900355;"BA";"ADUSTINA"
2900405;"BA";"ÁGUA FRIA"
2900603;"BA";"AIQUARA"
2900702;"BA";"ALAGOINHAS"
2900801;"BA";"ALCOBACA"
2900900;"BA";"ALMADINA"
2901007;"BA";"AMARGOSA"
2901106;"BA";"AMELIA RODRIGUES"
2901155;"BA";"AMÉRICA DOURADA"
2901205;"BA";"ANAGÉ"
2901304;"BA";"ANDARAÍ"
2901353;"BA";"ANDORINHA"
2901403;"BA";"ANGICAL"
2901502;"BA";"ANGUERA"
2901601;"BA";"ANTAS"
2901700;"BA";"ANTÔNIO CARDOSO"
2901809;"BA";"ANTÔNIO GONÇALVES"
2901908;"BA";"APORÁ"
2901957;"BA";"APUAREMA"
2902005;"BA";"ARACATU"
2902054;"BA";"ARAÇAS"
2902104;"BA";"ARACI"
2902203;"BA";"ARAMARI"
2902252;"BA";"ARATACA"
2902302;"BA";"ARATUÍPE"
2902401;"BA";"AURELINO LEAL"
2902500;"BA";"BAIANÓPOLIS"
2902609;"BA";"BAIXA GRANDE"
2902658;"BA";"BANZAÊ"
2902708;"BA";"BARRA"
2902807;"BA";"BARRA DA ESTIVA"
2902906;"BA";"BARRA DO CHOCA"
2903003;"BA";"BARRA DO MENDES"
2903102;"BA";"BARRA DO ROCHA"
2903201;"BA";"BARREIRAS"
2903235;"BA";"BARRO ALTO"
2903276;"BA";"BARROCAS"
2903300;"BA";"BARRO PRETO"
2903409;"BA";"BELMONTE"
2903508;"BA";"BELO CAMPO"
2903607;"BA";"BIRITINGA"
2903706;"BA";"BOA NOVA"
2903805;"BA";"BOA VISTA DO TUPIM"
2903904;"BA";"BOM JESUS DA LAPA"
2903953;"BA";"BOM JESUS DA SERRA"
2904001;"BA";"BONINAL"
2904050;"BA";"BONITO"
2904100;"BA";"BOQUIRA"
2904209;"BA";"BOTUPORÃ"
2904308;"BA";"BREJÕES"
2904407;"BA";"BREJOLÂNDIA"
2904506;"BA";"BROTAS DE MACAÚBAS"
2904605;"BA";"BRUMADO"
2904704;"BA";"BUERAREMA"
2904753;"BA";"BURITIRAMA"
2904803;"BA";"CAATIBA"
2904852;"BA";"CABACEIRAS DO PARAGUAÇU"
2904902;"BA";"CACHOEIRA"
2905008;"BA";"CACULÉ"
2905107;"BA";"CAEM"
2905156;"BA";"CAETANOS"
2905206;"BA";"CAETITÉ"
2905305;"BA";"CAFARNAUM"
2905404;"BA";"CAIRU"
2905503;"BA";"CALDEIRÃO GRANDE"
2905602;"BA";"CAMACAN"
2905701;"BA";"CAMAÇARI"
2905800;"BA";"CAMAMU"
2905909;"BA";"CAMPO ALEGRE DE LOURDES"
2906006;"BA";"CAMPO FORMOSO"
2906105;"BA";"CANÁPOLIS"
2906204;"BA";"CANARANA"
2906303;"BA";"CANAVIEIRAS"
2906402;"BA";"CANDEAL"
2906501;"BA";"CANDEIAS"
2906600;"BA";"CANDIBA"
2906709;"BA";"CÂNDIDO SALES"
2906808;"BA";"CANSANÇÃO"
2906824;"BA";"CANUDOS"
2906857;"BA";"CAPELA DO ALTO ALEGRE"
2906873;"BA";"CAPIM GROSSO"
2906899;"BA";"CARAÍBAS"
2906907;"BA";"CARAVELAS"
2907004;"BA";"CARDEAL DA SILVA"
2907103;"BA";"CARINHANHA"
2907202;"BA";"CASA NOVA"
2907301;"BA";"CASTRO ALVES"
2907400;"BA";"CATOLÂNDIA"
2907509;"BA";"CATU"
2907558;"BA";"CATURAMA"
2907608;"BA";"CENTRAL"
2907707;"BA";"CHORROCHÓ"
2907806;"BA";"CÍCERO DANTAS"
2907905;"BA";"CIPÓ"
2908002;"BA";"COARACI"
2908101;"BA";"COCOS"
2908200;"BA";"CONCEIÇÃO DA FEIRA"
2908309;"BA";"CONCEIÇÃO DO ALMEIDA"
2908408;"BA";"CONCEIÇÃO DO COITÉ"
2908507;"BA";"CONCEIÇÃO DO JACUÍPE"
2908606;"BA";"CONDE"
2908705;"BA";"CONDEÚBA"
2908804;"BA";"CONTENDAS DO SINCORÁ"
2908903;"BA";"CORAÇÃO DE MARIA"
2909000;"BA";"CORDEIROS"
2909109;"BA";"CORIBE"
2909208;"BA";"CORONEL JOÃO SÁ"
2909307;"BA";"CORRENTINA"
2909406;"BA";"COTEGIPE"
2909505;"BA";"CRAVOLÂNDIA"
2909604;"BA";"CRISÓPOLIS"
2909703;"BA";"CRISTÓPOLIS"
2909802;"BA";"CRUZ DAS ALMAS"
2909901;"BA";"CURAÇÁ"
2910008;"BA";"DÁRIO MEIRA"
2910057;"BA";"DIAS D ÁVILA"
2910107;"BA";"DOM BASILIO"
2910206;"BA";"DOM MACEDO COSTA"
2910305;"BA";"ELÍSIO MEDRADO"
2910404;"BA";"ENCRUZILHADA"
2910503;"BA";"ENTRE RIOS"
2900504;"BA";"ÉRICO CARDOSO"
2910602;"BA";"ESPLANADA"
2910701;"BA";"EUCLIDES DA CUNHA"
2910727;"BA";"EUNÁPOLIS"
2910750;"BA";"FÁTIMA"
2910776;"BA";"FEIRA DA MATA"
2910800;"BA";"FEIRA DE SANTANA"
2910859;"BA";"FILADÉLFIA"
2910909;"BA";"FIRMINO ALVES"
2911006;"BA";"FLORESTA AZUL"
2911105;"BA";"FORMOSA DO RIO PRETO"
2911204;"BA";"GANDU"
2911253;"BA";"GAVIÃO"
2911303;"BA";"GENTIO DO OURO"
2911402;"BA";"GLÓRIA"
2911501;"BA";"GONGOGI"
2911600;"BA";"GOVERNADOR MANGABEIRA"
2911659;"BA";"GUAJERU"
2911709;"BA";"GUANAMBI"
2911808;"BA";"GUARATINGA"
2911857;"BA";"HELIÓPOLIS"
2911907;"BA";"IAÇU"
2912004;"BA";"IBIASSUCÊ"
2912103;"BA";"IBICARAÍ"
2912202;"BA";"IBICOARA"
2912301;"BA";"IBICUI"
2912400;"BA";"IBIPEBA"
2912509;"BA";"IBIPITANGA"
2912608;"BA";"IBIQUERA"
2912707;"BA";"IBIRAPITANGA"
2912806;"BA";"IBIRAPUÃ"
2912905;"BA";"IBIRATAIA"
2913002;"BA";"IBITIARA"
2913101;"BA";"IBITITÁ"
2913200;"BA";"IBOTIRAMA"
2913309;"BA";"ICHU"
2913408;"BA";"IGAPORÃ"
2913457;"BA";"IGRAPIÚNA"
2913507;"BA";"IGUAÍ"
2913606;"BA";"ILHÉUS"
2913705;"BA";"INHAMBUPE"
2913804;"BA";"IPECAETÁ"
2913903;"BA";"IPIAÚ"
2914000;"BA";"IPIRÁ"
2914109;"BA";"IPUPIARA"
2914208;"BA";"IRAJUBA"
2914307;"BA";"IRAMAIA"
2914406;"BA";"IRAQUARA"
2914505;"BA";"IRARÁ"
2914604;"BA";"IRECÊ"
2914653;"BA";"ITABELA"
2914703;"BA";"ITABERABA"
2914802;"BA";"ITABUNA"
2914901;"BA";"ITACARÉ"
2915007;"BA";"ITAETÊ"
2915106;"BA";"ITAGI"
2915205;"BA";"ITAGIBÁ"
2915304;"BA";"ITAGIMIRIM"
2915353;"BA";"ITAGUAÇU DA BAHIA"
2915403;"BA";"ITAJU DO COLÔNIA"
2915502;"BA";"ITAJUÍPE"
2915601;"BA";"ITAMARAJU"
2915700;"BA";"ITAMARI"
2915809;"BA";"ITAMBÉ"
2915908;"BA";"ITANAGRA"
2916005;"BA";"ITANHÉM"
2916104;"BA";"ITAPARICA"
2916203;"BA";"ITAPÉ"
2916302;"BA";"ITAPEBI"
2916401;"BA";"ITAPETINGA"
2916500;"BA";"ITAPICURU"
2916609;"BA";"ITAPITANGA"
2916708;"BA";"ITAQUARA"
2916807;"BA";"ITARANTIM"
2916856;"BA";"ITATIM"
2916906;"BA";"ITIRUCU"
2917003;"BA";"ITIÚBA"
2917102;"BA";"ITORORÓ"
2917201;"BA";"ITUAÇU"
2917300;"BA";"ITUBERÁ"
2917334;"BA";"IUIÚ"
2917359;"BA";"JABORANDI"
2917409;"BA";"JACARACI"
2917508;"BA";"JACOBINA"
2917607;"BA";"JAGUAQUARA"
2917706;"BA";"JAGUARARI"
2917805;"BA";"JAGUARIPE"
2917904;"BA";"JANDAIRA"
2918001;"BA";"JEQUIÉ"
2918100;"BA";"JEREMOABO"
2918209;"BA";"JIQUIRIÇÁ"
2918308;"BA";"JITAÚNA"
2918357;"BA";"JOÃO DOURADO"
2918407;"BA";"JUAZEIRO"
2918456;"BA";"JUCURUÇU"
2918506;"BA";"JUSSARA"
2918555;"BA";"JUSSARI"
2918605;"BA";"JUSSIAPE"
2918704;"BA";"LAFAIETE COUTINHO"
2918753;"BA";"LAGOA REAL"
2918803;"BA";"LAJE"
2918902;"BA";"LAJEDÃO"
2919009;"BA";"LAJEDINHO"
2919058;"BA";"LAJEDO DO TABOCAL"
2919108;"BA";"LAMARÃO"
2919157;"BA";"LAPÃO"
2919207;"BA";"LAURO DE FREITAS"
2919306;"BA";"LENÇOIS"
2919405;"BA";"LICÍNIO DE ALMEIDA"
2919504;"BA";"LIVRAMENTO DE NOSSA SENHORA"
2919553;"BA";"LUIS EDUARDO MAGALHAES"
2919603;"BA";"MACAJUBA"
2919702;"BA";"MACARANI"
2919801;"BA";"MACAÚBAS"
2919900;"BA";"MACURURÉ"
2919926;"BA";"MADRE DE DEUS"
2919959;"BA";"MAETINGA"
2920007;"BA";"MAIQUINIQUE"
2920106;"BA";"MAIRI"
2920205;"BA";"MALHADA"
2920304;"BA";"MALHADA DE PEDRAS"
2920403;"BA";"MANOEL VITORINO"
2920452;"BA";"MANSIDÃO"
2920502;"BA";"MARACÁS"
2920601;"BA";"MARAGOGIPE"
2920700;"BA";"MARAÚ"
2920809;"BA";"MARCIONÍLIO SOUZA"
2920908;"BA";"MASCOTE"
2921005;"BA";"MATA DE SÃO JOÃO"
2921054;"BA";"MATINA"
2921104;"BA";"MEDEIROS NETO"
2921203;"BA";"MIGUEL CALMON"
2921302;"BA";"MILAGRES"
2921401;"BA";"MIRANGABA"
2921450;"BA";"MIRANTE"
2921500;"BA";"MONTE SANTO"
2921609;"BA";"MORPARÁ"
2921708;"BA";"MORRO DO CHAPÉU"
2921807;"BA";"MORTUGABA"
2921906;"BA";"MUCUGÊ"
2922003;"BA";"MUCURI"
2922052;"BA";"MULUNGU DO MORRO"
2922102;"BA";"MUNDO NOVO"
2922201;"BA";"MUNIZ FERREIRA"
2922250;"BA";"MUQUÉM DE SÃO FRANCISCO"
2922300;"BA";"MURITIBA"
2922409;"BA";"MUTUÍPE"
2922508;"BA";"NAZARÉ"
2922607;"BA";"NILO PEÇANHA"
2922656;"BA";"NORDESTINA"
2922706;"BA";"NOVA CANAÃ"
2922730;"BA";"NOVA FÁTIMA"
2922755;"BA";"NOVA IBIÁ"
2922805;"BA";"NOVA ITARANA"
2922854;"BA";"NOVA REDENÇÃO"
2922904;"BA";"NOVA SOURE"
2923001;"BA";"NOVA VIÇOSA"
2923035;"BA";"NOVO HORIZONTE"
2923050;"BA";"NOVO TRIUNFO"
2923100;"BA";"OLINDINA"
2923209;"BA";"OLIVEIRA DOS BREJINHOS"
2923308;"BA";"OURIÇANGAS"
2923357;"BA";"OUROLÂNDIA"
2923407;"BA";"PALMAS DE MONTE ALTO"
2923506;"BA";"PALMEIRAS"
2923605;"BA";"PARAMIRIM"
2923704;"BA";"PARATINGA"
2923803;"BA";"PARIPIRANGA"
2923902;"BA";"PAU BRASIL"
2924009;"BA";"PAULO AFONSO"
2924058;"BA";"PÉ DE SERRA"
2924108;"BA";"PEDRÃO"
2924207;"BA";"PEDRO ALEXANDRE"
2924306;"BA";"PIATÃ"
2924405;"BA";"PILÃO ARCADO"
2924504;"BA";"PINDAÍ"
2924603;"BA";"PINDOBAÇU"
2924652;"BA";"PINTADAS"
2924678;"BA";"PIRAÍ DO NORTE"
2924702;"BA";"PIRIPÁ"
2924801;"BA";"PIRITIBA"
2924900;"BA";"PLANALTINO"
2925006;"BA";"PLANALTO"
2925105;"BA";"POÇÕES"
2925204;"BA";"POJUCA"
2925253;"BA";"PONTO NOVO"
2925303;"BA";"PORTO SEGURO"
2925402;"BA";"POTIRAGUÁ"
2925501;"BA";"PRADO"
2925600;"BA";"PRESIDENTE DUTRA"
2925709;"BA";"PRESIDENTE JÂNIO QUADROS"
2925758;"BA";"PRESIDENTE TANCREDO NEVES"
2925808;"BA";"QUEIMADAS"
2925907;"BA";"QUIJINGUE"
2925931;"BA";"QUIXABEIRA"
2925956;"BA";"RAFAEL JAMBEIRO"
2926004;"BA";"REMANSO"
2926103;"BA";"RETIROLÂNDIA"
2926202;"BA";"RIACHÃO DAS NEVES"
2926301;"BA";"RIACHÃO DO JACUÍPE"
2926400;"BA";"RIACHO DE SANTANA"
2926509;"BA";"RIBEIRA DO AMPARO"
2926608;"BA";"RIBEIRA DO POMBAL"
2926657;"BA";"RIBEIRÃO DO LARGO"
2926707;"BA";"RIO DE CONTAS"
2926806;"BA";"RIO DO ANTÔNIO"
2926905;"BA";"RIO DO PIRES"
2927002;"BA";"RIO REAL"
2927101;"BA";"RODELAS"
2927200;"BA";"RUY BARBOSA"
2927309;"BA";"SALINAS DA MARGARIDA"
2927408;"BA";"SALVADOR"
2927507;"BA";"SANTA BÁRBARA"
2927606;"BA";"SANTA BRÍGIDA"
2927705;"BA";"SANTA CRUZ CABRÁLIA"
2927804;"BA";"SANTA CRUZ DA VITÓRIA"
2927903;"BA";"SANTA INÊS"
2928000;"BA";"SANTALUZ"
2928059;"BA";"SANTA LUZIA"
2928109;"BA";"SANTA MARIA DA VITÓRIA"
2928208;"BA";"SANTANA"
2928307;"BA";"SANTANÓPOLIS"
2928406;"BA";"SANTA RITA DE CÁSSIA"
2928505;"BA";"SANTA TERESINHA"
2928604;"BA";"SANTO AMARO"
2928703;"BA";"SANTO ANTÔNIO DE JESUS"
2928802;"BA";"SANTO ESTEVÃO"
2928901;"BA";"SÃO DESIDÉRIO"
2928950;"BA";"SÃO DOMINGOS"
2929107;"BA";"SÃO FELIPE"
2929008;"BA";"SÃO FÉLIX"
2929057;"BA";"SÃO FÉLIX DO CORIBE"
2929206;"BA";"SÃO FRANCISCO DO CONDE"
2929255;"BA";"SÃO GABRIEL"
2929305;"BA";"SÃO GONÇALO DOS CAMPOS"
2929354;"BA";"SÃO JOSÉ DA VITÓRIA"
2929370;"BA";"SÃO JOSÉ DO JACUÍPE"
2929404;"BA";"SÃO MIGUEL DAS MATAS"
2929503;"BA";"SÃO SEBASTIÃO DO PASSE"
2929602;"BA";"SAPEAÇU"
2929701;"BA";"SÁTIRO DIAS"
2929750;"BA";"SAUBARA"
2929800;"BA";"SAÚDE"
2929909;"BA";"SEABRA"
2930006;"BA";"SEBASTIÃO LARANJEIRAS"
2930105;"BA";"SENHOR DO BONFIM"
2930204;"BA";"SENTO SÉ"
2930154;"BA";"SERRA DO RAMALHO"
2930303;"BA";"SERRA DOURADA"
2930402;"BA";"SERRA PRETA"
2930501;"BA";"SERRINHA"
2930600;"BA";"SERROLANDIA"
2930709;"BA";"SIMÕES FILHO"
2930758;"BA";"SÍTIO DO MATO"
2930766;"BA";"SÍTIO DO QUINTO"
2930774;"BA";"SOBRADINHO"
2930808;"BA";"SOUTO SOARES"
2930907;"BA";"TABOCAS DO BREJO VELHO"
2931004;"BA";"TANHACU"
2931053;"BA";"TANQUE NOVO"
2931103;"BA";"TANQUINHO"
2931202;"BA";"TAPEROÁ"
2931301;"BA";"TAPIRAMUTÁ"
2931350;"BA";"TEIXEIRA DE FREITAS"
2931400;"BA";"TEODORO SAMPAIO"
2931509;"BA";"TEOFILÂNDIA"
2931608;"BA";"TEOLÂNDIA"
2931707;"BA";"TERRA NOVA"
2931806;"BA";"TREMEDAL"
2931905;"BA";"TUCANO"
2932002;"BA";"UAUÁ"
2932101;"BA";"UBAÍRA"
2932200;"BA";"UBAITABA"
2932309;"BA";"UBATÃ"
2932408;"BA";"UIBAÍ"
2932457;"BA";"UMBURANAS"
2932507;"BA";"UNA"
2932606;"BA";"URANDI"
2932705;"BA";"URUÇUCA"
2932804;"BA";"UTINGA"
2932903;"BA";"VALENÇA"
2933000;"BA";"VALENTE"
2933059;"BA";"VÁRZEA DA ROCA"
2933109;"BA";"VÁRZEA DO POCO"
2933158;"BA";"VÁRZEA NOVA"
2933174;"BA";"VARZEDO"
2933208;"BA";"VERA CRUZ"
2933257;"BA";"VEREDA"
2933307;"BA";"VITÓRIA DA CONQUISTA"
2933406;"BA";"WAGNER"
2933455;"BA";"WANDERLEY"
2933505;"BA";"WENCESLAU GUIMARÃES"
2933604;"BA";"XIQUE-XIQUE"
2300101;"CE";"ABAIARA"
2300150;"CE";"ACARAPE"
2300200;"CE";"ACARAU"
2300309;"CE";"ACOPIARA"
2300408;"CE";"AIUABA"
2300507;"CE";"ALCANTARAS"
2300606;"CE";"ALTANEIRA"
2300705;"CE";"ALTO SANTO"
2300754;"CE";"AMONTADA"
2300804;"CE";"ANTONINA DO NORTE"
2300903;"CE";"APUIARES"
2301000;"CE";"AQUIRAZ"
2301109;"CE";"ARACATI"
2301208;"CE";"ARACOIABA"
2301257;"CE";"ARARENDA"
2301307;"CE";"ARARIPE"
2301406;"CE";"ARATUBA"
2301505;"CE";"ARNEIROZ"
2301604;"CE";"ASSARE"
2301703;"CE";"AURORA"
2301802;"CE";"BAIXIO"
2301851;"CE";"BANABUIU"
2301901;"CE";"BARBALHA"
2301950;"CE";"BARREIRA"
2302008;"CE";"BARRO"
2302057;"CE";"BARROQUINHA"
2302107;"CE";"BATURITE"
2302206;"CE";"BEBERIBE"
2302305;"CE";"BELA CRUZ"
2302404;"CE";"BOA VIAGEM"
2302503;"CE";"BREJO SANTO"
2302602;"CE";"CAMOCIM"
2302701;"CE";"CAMPOS SALES"
2302800;"CE";"CANINDE"
2302909;"CE";"CAPISTRANO"
2303006;"CE";"CARIDADE"
2303105;"CE";"CARIRE"
2303204;"CE";"CARIRIACU"
2303303;"CE";"CARIUS"
2303402;"CE";"CARNAUBAL"
2303501;"CE";"CASCAVEL"
2303600;"CE";"CATARINA"
2303659;"CE";"CATUNDA"
2303709;"CE";"CAUCAIA"
2303808;"CE";"CEDRO"
2303907;"CE";"CHAVAL"
2303931;"CE";"CHORO"
2303956;"CE";"CHOROZINHO"
2304004;"CE";"COREAU"
2304103;"CE";"CRATEUS"
2304202;"CE";"CRATO"
2304236;"CE";"CROATA"
2304251;"CE";"CRUZ"
2304269;"CE";"DEPUTADO IRAPUAN RIBEIRO"
2304277;"CE";"ERERE"
2304285;"CE";"EUSEBIO"
2304301;"CE";"FARIAS BRITO"
2304350;"CE";"FORQUILHA"
2304400;"CE";"FORTALEZA"
2304459;"CE";"FORTIM"
2304509;"CE";"FRECHEIRINHA"
2304608;"CE";"GENERAL SAMPAIO"
2304657;"CE";"GRACA"
2304707;"CE";"GRANJA"
2304806;"CE";"GRANJEIRO"
2304905;"CE";"GROIARAS"
2304954;"CE";"GUAIUBA"
2305001;"CE";"GUARACIABA DO NORTE"
2305100;"CE";"GUARAMIRANGA"
2305209;"CE";"HIDROLANDIA"
2305233;"CE";"HORIZONTE"
2305266;"CE";"IBARETAMA"
2305308;"CE";"IBIAPINA"
2305332;"CE";"IBICUITINGA"
2305357;"CE";"ICAPUI"
2305407;"CE";"ICO"
2305506;"CE";"IGUATU"
2305605;"CE";"INDEPENDENCIA"
2305654;"CE";"IPAPORANGA"
2305704;"CE";"IPAUMIRIM"
2305803;"CE";"IPU"
